"country","incomegroup"
"Afghanistan","L"
"Albania","UM"
"Algeria","UM"
"Andorra","H"
"Angola","UM"
"Antigua and Barbuda","H"
"Argentina","H"
"Armenia","LM"
"Aruba","H"
"Australia","H"
"Austria","H"
"Azerbaijan","UM"
"Bahamas","H"
"Bahrain","H"
"Bangladesh","LM"
"Barbados","H"
"Belarus","UM"
"Belgium","H"
"Belize","UM"
"Benin","L"
"Bermuda","H"
"Bhutan","LM"
"Bolivia","LM"
"Bosnia and Herzegovina","UM"
"Botswana","UM"
"Brazil","UM"
"Brunei","H"
"Bulgaria","UM"
"Burkina Faso","L"
"Burundi","L"
"Cambodia","L"
"Cameroon","LM"
"Canada","H"
"Cape Verde","LM"
"Cayman Islands","H"
"Central African Rep.","L"
"Chad","L"
"Chile","H"
"China","UM"
"Colombia","UM"
"Comoros","L"
"Congo, Dem. Rep.","L"
"Congo, Rep.","LM"
"Cook Islands","#N/A"
"Costa Rica","UM"
"Cote d'Ivoire","LM"
"Croatia","H"
"Cuba","UM"
"Cyprus","H"
"Czech Rep.","H"
"Denmark","H"
"Djibouti","LM"
"Dominica","UM"
"Dominican Rep.","UM"
"Ecuador","UM"
"Egypt","LM"
"El Salvador","LM"
"Equatorial Guinea","H"
"Eritrea","L"
"Estonia","H"
"Ethiopia","L"
"Faeroe Islands","H"
"Fiji","UM"
"Finland","H"
"France","H"
"French Polynesia","H"
"Gabon","UM"
"Gambia","L"
"Georgia","LM"
"Germany","H"
"Ghana","LM"
"Gibraltar","#N/A"
"Greece","H"
"Greenland","H"
"Grenada","UM"
"Guadeloupe","#N/A"
"Guam","H"
"Guatemala","LM"
"Guinea","L"
"Guinea-Bissau","L"
"Guyana","LM"
"Haiti","L"
"Honduras","LM"
"Hong Kong, China","#N/A"
"Hungary","H"
"Iceland","H"
"India","LM"
"Indonesia","LM"
"Iran","H"
"Iraq","UM"
"Ireland","H"
"Israel","H"
"Italy","H"
"Jamaica","UM"
"Japan","H"
"Jordan","UM"
"Kazakhstan","UM"
"Kenya","LM"
"Kiribati","LM"
"Korea, Dem. Rep.","L"
"Korea, Rep.","H"
"Kuwait","H"
"Kyrgyzstan","LM"
"Laos","LM"
"Latvia","H"
"Lebanon","UM"
"Lesotho","LM"
"Liberia","L"
"Libya","UM"
"Liechtenstein","H"
"Lithuania","H"
"Luxembourg","H"
"Macao, China","H"
"Macedonia, FYR","UM"
"Madagascar","L"
"Malawi","L"
"Malaysia","UM"
"Maldives","UM"
"Mali","L"
"Malta","H"
"Marshall Islands","UM"
"Martinique","#N/A"
"Mauritania","LM"
"Mauritius","UM"
"Mexico","UM"
"Micronesia, Fed. Sts.","LM"
"Moldova","LM"
"Monaco","H"
"Mongolia","UM"
"Montenegro","UM"
"Morocco","LM"
"Mozambique","L"
"Myanmar","LM"
"Namibia","UM"
"Nauru","#N/A"
"Nepal","L"
"Netherlands","H"
"Netherlands Antilles","#N/A"
"New Caledonia","H"
"New Zealand","H"
"Nicaragua","LM"
"Niger","L"
"Nigeria","LM"
"Niue","#N/A"
"Norway","H"
"Oman","H"
"Pakistan","LM"
"Palau","UM"
"Panama","UM"
"Papua New Guinea","LM"
"Paraguay","UM"
"Peru","UM"
"Philippines","LM"
"Poland","H"
"Portugal","H"
"Puerto Rico","H"
"Qatar","H"
"Reunion","#N/A"
"Romania","UM"
"Russia","H"
"Rwanda","L"
"Saint Kitts and Nevis","H"
"Saint Lucia","UM"
"Saint Vincent and the Grenadines","UM"
"Samoa","LM"
"San Marino","H"
"Sao Tome and Principe","LM"
"Saudi Arabia","H"
"Senegal","LM"
"Serbia","UM"
"Serbia and Montenegro","#N/A"
"Seychelles","H"
"Sierra Leone","L"
"Singapore","H"
"Slovak Republic","H"
"Slovenia","H"
"Solomon Islands","LM"
"Somalia","L"
"South Africa","UM"
"Spain","H"
"Sri Lanka","LM"
"Sudan","LM"
"Suriname","UM"
"Swaziland","LM"
"Sweden","H"
"Switzerland","H"
"Syria","LM"
"Taiwan","H"
"Tajikistan","LM"
"Tanzania","L"
"Thailand","UM"
"Timor-Leste","LM"
"Togo","L"
"Tonga","UM"
"Trinidad and Tobago","H"
"Tunisia","UM"
"Turkey","UM"
"Turkmenistan","UM"
"Tuvalu","UM"
"Uganda","L"
"Ukraine","LM"
"United Arab Emirates","H"
"United Kingdom","H"
"United States","H"
"Uruguay","H"
"Uzbekistan","LM"
"Vanuatu","LM"
"Venezuela","H"
"Vietnam","LM"
"West Bank and Gaza","LM"
"Yemen, Rep.","LM"
"Zambia","LM"
"Zimbabwe","L"
